"Add orders status comments","Adicionar comentarios ao status do pedidos"
"Attribute","Atributo"
"Category attribute","Atributo de categoria"
"Attributes sets and configurable attributes used in associations of products","Conjuntos de atributos e atributos configuráveis usados em associações de produtos"
"Product attribute","Atributo de produto"
"Retrieve categories","Busca categorias"
"Use alternative","Usar alternativas"
"Use alternative attributes for Category and Product IDs","Usar atributos alternativos para ID's de Categoria e Produto."
"Retrieve store address","Busca endereço da loja"
"Retrieve store phone","Busca telefone da loja"
"Retrieve store name","Busca nome da loja"
"Retrieve module version","Busca versão do módulo"
"Retrieve websites","Busca websites"
"Store Group","Grupo de Loja"
"Retrieve store groups","Busca grupos de loja"
"Retrieve stores","Busca lojas"
"Create attributes","Cria atributos"
"Create categories","Cria categorias"
"Create products","Cria produtos"
"Stock","Estoque"
"Update stocks","Atualiza estoques"
"Retrieve orders","Busca pedidos"
"Retrieve products","Busca produtos"
"Create invoices","Cria faturas"
"Creditmemo","Memorando de crédito"
"Crypt key","Chave de criptografia"
"Associations","Associações"
"Create creditmemos","Cria memorandos de crédito"
"Create shipments","Cria entregas"
"Attribute for category ID","Atributo para ID da categoria"
"Attribute for product ID","Atributo para ID do produto"
"Cancel orders","Cancela pedidos"
"Attributes set","Conjunto de atributos"
"Auto create","Auto criar"
"Auto create attributes set","Auto criar conjunto de atributos"
"Use default attributes set to products","Usar conjunto de atributos padrão para produtos"
